N,g,two_sqrt_g,C_S4,margin,VALOR,CM,Cert_SHA,parent_M7_SHA
74,8,5.65685425,11.42214869,5.76529444,57652,0,3047eda97a8a696b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
75,5,4.47213595,11.42214869,6.95001274,69500,0,5327c22808780697...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
76,8,5.65685425,11.42214869,5.76529444,57652,0,36fb23cfe3ac0194...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
77,7,5.29150262,11.42214869,6.13064607,61306,0,a4808274426f5a71...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
78,11,6.63324958,11.42214869,4.78889911,47888,0,60a769950865b284...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
79,6,4.89897949,11.42214869,6.52316920,65231,0,009d27cb3712ad33...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
80,7,5.29150262,11.42214869,6.13064607,61306,0,12cc2b60ebc73fd7...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
81,4,4.00000000,11.42214869,7.42214869,74221,0,2148f09af399c8a2...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
82,9,6.00000000,11.42214869,5.42214869,54221,0,495138c1a235204a...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
83,7,5.29150262,11.42214869,6.13064607,61306,0,7893703842cc75c4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
84,11,6.63324958,11.42214869,4.78889911,47888,0,43641ca05365766d...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
85,7,5.29150262,11.42214869,6.13064607,61306,0,2e888dd13c5ffd45...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
86,10,6.32455532,11.42214869,5.09759337,50975,0,0e00ef97c4fec921...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
87,9,6.00000000,11.42214869,5.42214869,54221,0,a74bdff2e13eae3a...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
88,9,6.00000000,11.42214869,5.42214869,54221,0,5a97e2b31eb1c114...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
89,7,5.29150262,11.42214869,6.13064607,61306,0,d8bb9099fb243233...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
90,11,6.63324958,11.42214869,4.78889911,47888,0,c0901624e5d1e058...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
91,7,5.29150262,11.42214869,6.13064607,61306,0,003463290bc335a4...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
92,10,6.32455532,11.42214869,5.09759337,50975,0,c9a62d95955a4caa...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
93,9,6.00000000,11.42214869,5.42214869,54221,0,3634e2f53277a220...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
94,11,6.63324958,11.42214869,4.78889911,47888,0,e54667cd3add6a29...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
95,9,6.00000000,11.42214869,5.42214869,54221,0,dd970d4633ef71fb...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
96,9,6.00000000,11.42214869,5.42214869,54221,0,e08c42d83fa349bd...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
97,7,5.29150262,11.42214869,6.13064607,61306,0,d36107518a1f1785...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
98,7,5.29150262,11.42214869,6.13064607,61306,0,8538747ccd2f86dc...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
99,9,6.00000000,11.42214869,5.42214869,54221,0,43d76e5dc8e4db23...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
100,7,5.29150262,11.42214869,6.13064607,61306,0,61be40be04557206...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
101,8,5.65685425,11.42214869,5.76529444,57652,0,8ababd03058a197e...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
102,15,7.74596669,11.42214869,3.67618200,36761,0,831b51f661b8798b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
103,8,5.65685425,11.42214869,5.76529444,57652,0,867be741bae8a25f...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
104,11,6.63324958,11.42214869,4.78889911,47888,0,f78589a81d9e676e...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
105,13,7.21110255,11.42214869,4.21104614,42110,0,3379327d8c5b56e3...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
106,12,6.92820323,11.42214869,4.49394546,44939,0,6b4303ff20207f00...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
107,9,6.00000000,11.42214869,5.42214869,54221,0,21f429815f5cbd8b...,5b80b84d1d3d13e216eeecd8155c1edc854d578e7d2dae9c4bc72fcbf7ebe3c9
